Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\CarrierMotherboard\Project Outputs for CarrierMotherboard\Pick Place for CarrierMotherboard.csv

========================================================================================================================
File Design Information:

Date:       17/11/25
Time:       22:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C623","100nF","TopLayer","FP-GRM155-0_05-IPC_B","52.7196","74.4612","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C621","22u","TopLayer","FP-CL10-IPC_B","81.2038","63.5508","90","Cap Ceramic 22uF 16V X5R ±20% Pad SMD 0603 +85°C T/R"
"C620","4u7","TopLayer","FP-GRM155-0_2-MFG","59.7840","69.7484","0","Chip Multilayer Ceramic Capacitors for General Purpose 0402 Package 0.7mm 4.7uF @ 20% 25Vdc X5S @ 22%"
"C619","22u","BottomLayer","FP-CL10-IPC_B","81.7004","59.5593","270","Cap Ceramic 22uF 16V X5R ±20% Pad SMD 0603 +85°C T/R"
"C618","22u","TopLayer","FP-CL10-IPC_B","83.0561","61.6396","270","Cap Ceramic 22uF 16V X5R ±20% Pad SMD 0603 +85°C T/R"
"C616","22u","BottomLayer","FP-CL10-IPC_B","78.7146","61.7474","90","Cap Ceramic 22uF 16V X5R ±20% Pad SMD 0603 +85°C T/R"
"C611","1µF","TopLayer","FP-GRM15-0_1-MFG","59.8665","71.6730","0","CAP CER 1UF 10V X5R 0402"
"C610","100nF","TopLayer","FP-GRM155-0_05-IPC_B","56.1265","76.3143","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C609","22u 25v","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_B","61.0386","79.2163","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 25V"
"C608","22u 25v","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_B","58.3284","79.2749","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 25V"
"C607","100nF","TopLayer","FP-GRM155-0_05-IPC_B","74.7000","62.7286","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C606","1µF","TopLayer","FP-GRM15-0_1-MFG","81.5594","58.4708","0","CAP CER 1UF 10V X5R 0402"
"C605","4u7","TopLayer","FP-GRM155-0_2-MFG","81.6102","56.5150","0","Chip Multilayer Ceramic Capacitors for General Purpose 0402 Package 0.7mm 4.7uF @ 20% 25Vdc X5S @ 22%"
"C604","100nF","TopLayer","FP-GRM155-0_05-IPC_B","79.7052","62.4872","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C603","100nF","TopLayer","FP-GRM155-0_05-IPC_B","73.3806","60.3504","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C602","22u 25v","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_B","71.1789","61.0137","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 25V"
"C601","22u 25v","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_B","68.4687","61.0749","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 25V"
"C525","10µF","BottomLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","38.7604","72.2884","90","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C524","10µF","BottomLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","36.9250","63.9000","180","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C523","10µF","BottomLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","35.7886","66.1162","180","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C522","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","48.4789","63.2471","270","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C521","10µF","BottomLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","36.7538","69.2912","90","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C520","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","46.1010","64.7936","270","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C519","10µF","BottomLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","43.2000","68.1250","90","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C518","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","43.8575","65.2713","270","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C517","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","41.6530","61.6998","270","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C516","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","36.9316","60.4774","180","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C515","0.1 µF","TopLayer","FP-GRM155-0_05-IPC_B","40.4622","65.7860","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C514","0.1 µF","TopLayer","FP-GRM155-0_05-IPC_B","42.7514","69.9008","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C513","1nF","TopLayer","CAPC1005X55X25ML5T10","40.4109","64.3998","180","Chip Capacitor, 1 nF, +/- 10%, 50 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
"C512","47nF","TopLayer","FP-GRM155-0_05-MFG","39.8000","72.9000","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 47000pF, X7R, 15%, 10%, 50V"
"C511","47nF","TopLayer","FP-GRM155-0_05-MFG","40.0304","68.8912","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 47000pF, X7R, 15%, 10%, 50V"
"C510","0.1 µF","TopLayer","FP-GRM155-0_05-IPC_B","38.2138","73.9811","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C509","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","44.5516","74.4456","270","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C508","4.7µF","TopLayer","CAPC1608X90X35NL10T15","35.6616","74.5744","270",""
"C507","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","42.1640","74.3694","270","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C506","4.7nF","TopLayer","CAPC1005X55X25LL05T10","41.5544","80.1788","90",""
"C505","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","40.1066","89.3064","180","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C504","100nF","TopLayer","FP-GRM155-0_05-IPC_C","34.9750","79.0557","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 25V"
"C503","0.1 µF","TopLayer","FP-GRM155-0_05-IPC_B","38.0492","86.6648","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C502","0.1 µF","TopLayer","FP-GRM155-0_05-IPC_B","30.6417","85.3612","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C501","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","34.7727","86.7900","0","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C406","1u","TopLayer","FP-GRM155-0_1-IPC_C","29.9501","121.6134","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1.0uF, X5R, 15%, 10%, 25V"
"C405","100n","TopLayer","FP-GRM155-0_05-IPC_B","28.3888","121.6638","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X5R, 15%, 10%, 50V"
"C404","100nF","TopLayer","FP-GRM155-0_05-IPC_B","33.9598","97.6916","90","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C403","1µF","TopLayer","FP-GRM15-0_1-MFG","52.5018","100.4634","90","CAP CER 1UF 10V X5R 0402"
"C402","1µF","TopLayer","FP-GRM15-0_1-MFG","51.0000","96.7367","270","CAP CER 1UF 10V X5R 0402"
"C401","1µF","TopLayer","FP-GRM15-0_1-MFG","50.9999","101.4804","90","CAP CER 1UF 10V X5R 0402"
"C309","22u 25v","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_B","160.7566","98.8060","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 25V"
"C308","22u 25v","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_B","163.4355","98.8120","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 25V"
"C307","22u 25v","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_B","158.0895","98.7890","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 25V"
"C306","3.9n","TopLayer","FP-GRM188-0_1-e0_2_0_5-IPC_B","161.0225","106.1976","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 3900pF, C0G, 30ppm/°C, 5%, 50V"
"C305","22nf","TopLayer","CAPC1608X90X35ML10T15","153.8851","97.0276","90",""
"C304","1µF","TopLayer","FP-GRM15-0_1-MFG","153.8232","105.5726","90","CAP CER 1UF 10V X5R 0402"
"C303","0.1 µF","TopLayer","FP-GRM155-0_05-IPC_B","151.5364","100.8126","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C302","22u","TopLayer","FP-CL10-IPC_B","148.8694","94.9198","180","Cap Ceramic 22uF 16V X5R ±20% Pad SMD 0603 +85°C T/R"
"C301","22u","TopLayer","FP-CL10-IPC_B","149.3668","97.1145","180","Cap Ceramic 22uF 16V X5R ±20% Pad SMD 0603 +85°C T/R"
"C918","1µF","TopLayer","FP-GRM15-0_1-MFG","108.3818","80.4990","90","CAP CER 1UF 10V X5R 0402"
"C117","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","84.1248","94.6676","90","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C116","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","80.7956","91.8210","180","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C115","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","80.7448","87.6046","180","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C114","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","80.6352","89.8212","180","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C113","220n","TopLayer","FP-C1005-050-0_05-IPC_B","88.3689","101.4740","270","Multilayer Ceramic Capacitors 220nF ±10% 16V X7R SMD 0402"
"C112","220n","TopLayer","FP-C1005-050-0_05-IPC_B","89.9414","101.5455","270","Multilayer Ceramic Capacitors 220nF ±10% 16V X7R SMD 0402"
"C111","220n","TopLayer","FP-C1005-050-0_05-IPC_B","91.9503","101.7536","270","Multilayer Ceramic Capacitors 220nF ±10% 16V X7R SMD 0402"
"C110","220n","TopLayer","FP-C1005-050-0_05-IPC_B","93.5228","101.7270","270","Multilayer Ceramic Capacitors 220nF ±10% 16V X7R SMD 0402"
"C109","220n","TopLayer","FP-C1005-050-0_05-IPC_B","95.2735","101.3621","270","Multilayer Ceramic Capacitors 220nF ±10% 16V X7R SMD 0402"
"C107","220n","TopLayer","FP-C1005-050-0_05-IPC_B","98.4184","101.1682","270","Multilayer Ceramic Capacitors 220nF ±10% 16V X7R SMD 0402"
"C106","220n","TopLayer","FP-C1005-050-0_05-IPC_B","99.9909","101.1683","270","Multilayer Ceramic Capacitors 220nF ±10% 16V X7R SMD 0402"
"C105","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","142.9326","90.1734","90","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C104","10µF","TopLayer","FP-GRM31C-0_2-e0_3_0_8-MFG","116.8740","91.6598","90","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 10uF, X7R, 15%, 10%, 25V"
"C103","220n","TopLayer","FP-C1005-050-0_05-IPC_B","128.7687","100.9953","270","Multilayer Ceramic Capacitors 220nF ±10% 16V X7R SMD 0402"
"C102","220n","TopLayer","FP-C1005-050-0_05-IPC_B","130.3499","100.9953","270","Multilayer Ceramic Capacitors 220nF ±10% 16V X7R SMD 0402"
"C101","100nF","TopLayer","FP-GRM155-0_05-IPC_B","103.4157","87.3496","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 10%, 50V"
"C2","100uF","TopLayer","FP-T521D107M025ATE040-MFG","61.3918","106.7054","270","CAP TANT POLY 100UF 25V 2917"
"C1","100uF","TopLayer","FP-T521D107M025ATE040-MFG","69.1134","107.0864","270","CAP TANT POLY 100UF 25V 2917"
